definition,lib,category,uuid,axes,regime,cost_source,latency_us,mfu,mfu_ceiling,bandwidth_utilization,sol_efficiency,ai,t_sol_us,flops,bytes,peak
002_fp8_attention_qkv_projection,flashinfer,Contest,08113562-ea33-5b89-9233-bb6919fb26bc,"{""batch_size"": 16, ""seq_len"": 256}",compute,ray234,5589.029439290364,0.02433468980330428,1.0,0.0032658664976217364,0.02433468980330428,4191.311256699164,136.00729770666666,612032839680.0,146024192.0,4500000000000000.0
002_fp8_attention_qkv_projection,flashinfer,Contest,b45a7302-e2ab-56e2-a71a-e3948931eaa9,"{""batch_size"": 4, ""seq_len"": 384}",compute,ray234,3324.6271769205728,0.01534088904586323,1.0,0.0038147026193015425,0.015340889045863228,2262.102960434187,51.00273664,229512314880.0,101459712.0,4500000000000000.0
002_fp8_attention_qkv_projection,flashinfer,Contest,833bbff8-d14a-506c-bceb-f34eec53794e,"{""batch_size"": 8, ""seq_len"": 128}",compute,ray234,2904.5748392740884,0.011706299995067233,1.0,0.003982803900790921,0.011706299995067232,1653.306040480096,34.001824426666666,153008209920.0,92546816.0,4500000000000000.0
002_fused_add_rmsnorm_h4096,flashinfer,FlashInfer-Bench,9f5150a0-744c-4699-a970-f15b0ea14a38,"{""batch_size"": 7}",latency,ray234,3.6288000643253326,0.0,0.0,0.006208112764732441,0.0062081127647324414,0.0,0.022528000000000003,0.0,180224.0,2250000000000000.0
002_fused_add_rmsnorm_h4096,flashinfer,FlashInfer-Bench,4eb3e01a-c4e4-4e93-8f4a-010308488552,"{""batch_size"": 16}",latency,ray234,3.6415999134381614,0.0,0.0,0.013778559202739845,0.013778559202739845,0.0,0.050176,0.0,401408.0,2250000000000000.0
002_fused_add_rmsnorm_h4096,flashinfer,FlashInfer-Bench,8edfb911-8a77-4c5e-9a09-817626ced351,"{""batch_size"": 15}",latency,ray234,3.6415999134381614,0.0,0.0,0.012934973945429242,0.012934973945429242,0.0,0.047104,0.0,376832.0,2250000000000000.0
003_fp8_mlp_gate_up_projection,flashinfer,Contest,63ad65ea-91c9-5300-948c-d13a37ebabf5,"{""M"": 3584}",compute,ray234,1524.6815999348958,0.14186524269833156,1.0,0.01776927851766353,0.14186524269833156,4490.851946435935,216.29932521244444,973346963456.0,216739936.0,4500000000000000.0
003_fp8_mlp_gate_up_projection,flashinfer,Contest,b352bbd9-91c0-5fe6-a38f-3c32d3a8e18f,"{""M"": 1792}",compute,ray234,802.5557200113932,0.1347565781534607,1.0,0.027454387839497562,0.13475657815346068,2760.9639542670957,108.14966260622222,486673481728.0,176269408.0,4500000000000000.0
003_fp8_mlp_gate_up_projection,flashinfer,Contest,d26395d0-a9d1-5322-9f2f-91adc00aaef2,"{""M"": 1280}",compute,ray234,619.0154393513998,0.12479455938188913,1.0,0.033259752004848674,0.12479455938188914,2110.56713958899,77.24975900444446,347623915520.0,164706400.0,4500000000000000.0
003_fused_add_rmsnorm_h7168,flashinfer,FlashInfer-Bench,c4831914-583d-4dbf-a185-e246bf426098,"{""batch_size"": 7}",latency,ray234,3.6288000643253326,0.0,0.0,0.010864197338281773,0.010864197338281771,0.0,0.039424,0.0,315392.0,2250000000000000.0
